Date,Open,High,Low,Close,Volume,Adjusted Close
4/4/2018,10274.59961,10279.84961,10111.29981,10128.40039,231100,10128.40039
4/3/2018,10186.84961,10255.34961,10171.04981,10245,205300,10245
4/2/2018,10151.65039,10220.09961,10127.75,10211.79981,225400,10211.79981
3/28/2018,10143.59961,10158.34961,10096.90039,10113.7002,344400,10113.7002
3/27/2018,10188,10207.90039,10139.65039,10184.15039,225700,10184.15039
3/26/2018,9989.150391,10143.5,9958.549805,10130.65039,262600,10130.65039
3/23/2018,9968.799805,10027.7002,9951.900391,9998.049805,285700,9998.049805
3/22/2018,10167.5,10207.84961,10105.40039,10114.75,230500,10114.75
3/21/2018,10181.9502,10227.29981,10132.9502,10155.25,204800,10155.25
3/20/2018,10051.54981,10155.65039,10049.09961,10124.34961,203000,10124.34961
3/19/2018,10215.34961,10224.54981,10075.29981,10094.25,210200,10094.25
3/16/2018,10345.15039,10346.29981,10180.25,10195.15039,328500,10195.15039
3/15/2018,10405.4502,10420,10346.2002,10360.15039,173900,10360.15039
3/14/2018,10393.04981,10420.34961,10336.29981,10410.90039,181400,10410.90039
3/13/2018,10389.5,10478.59961,10377.84961,10426.84961,266700,10426.84961
3/12/2018,10301.59961,10433.65039,10295.4502,10421.40039,216400,10421.40039
3/9/2018,10271.29981,10296.7002,10211.90039,10226.84961,186500,10226.84961
3/8/2018,10216.25,10270.34961,10146.40039,10242.65039,226400,10242.65039
3/7/2018,10232.9502,10243.34961,10141.54981,10154.2002,249500,10154.2002
3/6/2018,10420.5,10441.34961,10215.90039,10249.25,222900,10249.25
3/5/2018,10428.29981,10428.7002,10323.90039,10358.84961,194000,10358.84961
3/1/2018,10479.9502,10525.5,10447.15039,10458.34961,176000,10458.34961
2/28/2018,10488.9502,10535.5,10461.54981,10492.84961,286000,10492.84961
2/27/2018,10615.2002,10631.65039,10537.25,10554.29981,187500,10554.29981
2/26/2018,10526.54981,10592.9502,10520.2002,10582.59961,171900,10582.59961
2/23/2018,10408.09961,10499.09961,10396.65039,10491.04981,210600,10491.04981
2/22/2018,10354.34961,10397.54981,10340.65039,10382.7002,313600,10382.7002
2/21/2018,10426,10426.09961,10349.59961,10397.4502,234100,10397.4502
2/20/2018,10391,10429.34961,10347.65039,10360.40039,187700,10360.40039
2/19/2018,10488.90039,10489.34961,10302.75,10378.40039,187300,10378.40039
2/16/2018,10596.2002,10612.90039,10434.04981,10452.29981,184300,10452.29981
2/15/2018,10537.90039,10618.09961,10511.04981,10545.5,210600,10545.5
2/14/2018,10585.75,10590.54981,10456.65039,10500.90039,229200,10500.90039
2/12/2018,10518.2002,10555.5,10485.40039,10539.75,217400,10539.75
2/9/2018,10416.5,10480.2002,10398.2002,10454.9502,191600,10454.9502
2/8/2018,10518.5,10637.79981,10479.54981,10576.84961,232200,10576.84961
2/7/2018,10607.2002,10614,10446.40039,10476.7002,250400,10476.7002
2/6/2018,10295.15039,10594.15039,10276.29981,10498.25,266500,10498.25
2/5/2018,10604.29981,10702.75,10586.79981,10666.54981,240100,10666.54981
2/2/2018,10938.2002,10954.9502,10736.09961,10760.59961,282700,10760.59961
2/1/2018,11044.54981,11117.34961,10878.79981,11016.90039,306200,11016.90039
1/31/2018,11018.79981,11058.5,10979.29981,11027.7002,245900,11027.7002
1/30/2018,11120.84961,11121.09961,11033.90039,11049.65039,228000,11049.65039
1/29/2018,11079.34961,11171.54981,11075.9502,11130.40039,241700,11130.40039
1/25/2018,11095.59961,11095.59961,11009.2002,11069.65039,330300,11069.65039
1/24/2018,11069.34961,11110.09961,11046.15039,11086,283400,11086
1/23/2018,10997.40039,11092.90039,10994.54981,11083.7002,284600,11083.7002
1/22/2018,10883.2002,10975.09961,10881.40039,10966.2002,231600,10966.2002
1/19/2018,10829.2002,10906.84961,10793.90039,10894.7002,207600,10894.7002
1/18/2018,10873.40039,10887.5,10782.40039,10817,312000,10817
1/17/2018,10702.4502,10803,10666.75,10788.54981,252700,10788.54981
1/16/2018,10761.5,10762.34961,10687.84961,10700.4502,211000,10700.4502
1/15/2018,10718.5,10782.65039,10713.79981,10741.54981,175900,10741.54981
1/12/2018,10682.54981,10690.40039,10597.09961,10681.25,175200,10681.25
1/11/2018,10637.04981,10664.59961,10612.34961,10651.2002,153800,10651.2002
1/10/2018,10652.04981,10655.5,10592.7002,10632.2002,176400,10632.2002
1/9/2018,10645.09961,10659.15039,10603.59961,10637,205000,10637
1/8/2018,10591.7002,10631.2002,10588.54981,10623.59961,169000,10623.59961
1/5/2018,10534.25,10566.09961,10520.09961,10558.84961,180900,10558.84961
1/4/2018,10469.40039,10513,10441.4502,10504.79981,174900,10504.79981
1/3/2018,10482.65039,10503.59961,10429.54981,10443.2002,167300,10443.2002
1/2/2018,10477.54981,10495.2002,10404.65039,10442.2002,153400,10442.2002
1/1/2018,null,null,null,null,null,null
12/29/2017,10492.34961,10538.7002,10488.65039,10530.7002,152000,10530.7002
12/28/2017,10498.2002,10534.54981,10460.4502,10477.90039,272900,10477.90039
12/27/2017,10531.04981,10552.40039,10469.25,10490.75,165200,10490.75
12/26/2017,10512.29981,10545.4502,10477.9502,10531.5,155600,10531.5
12/22/2017,10457.29981,10501.09961,10448.25,10493,138800,10493
12/21/2017,10473.9502,10473.9502,10426.90039,10440.29981,151900,10440.29981
12/20/2017,10494.40039,10494.4502,10437.15039,10444.2002,175200,10444.2002
12/19/2017,10414.79981,10472.2002,10406,10463.2002,169100,10463.2002
12/18/2017,10263.09961,10443.54981,10074.79981,10388.75,230400,10388.75
12/15/2017,10345.65039,10373.09961,10319.65039,10333.25,255100,10333.25
12/14/2017,10229.29981,10276.09961,10141.54981,10252.09961,154300,10252.09961
12/13/2017,10236.59961,10296.54981,10169.84961,10192.9502,181600,10192.9502
12/12/2017,10324.90039,10326.09961,10230.2002,10240.15039,175100,10240.15039
12/11/2017,10310.5,10329.2002,10282.04981,10322.25,147400,10322.25
12/8/2017,10198.4502,10270.84961,10195.25,10265.65039,200000,10265.65039
