Date,Open,High,Low,Close,Volume,Adjusted Close
4/4/2018,12218.91016,12482.70996,12193.84961,12466.4502,3350340000,12466.4502
4/3/2018,12274.25977,12380.25,12220.20996,12367.07031,3392810000,12367.07031
4/2/2018,12432.88965,12441.84961,12107.71973,12216.70996,3598520000,12216.70996
3/29/2018,12356.19043,12512,12356.08008,12452.05957,3565990000,12452.05957
3/28/2018,12325.29004,12399.23047,12271.03027,12308.90039,3864500000,12308.90039
3/27/2018,12466.38965,12517.25977,12246.41016,12302.54004,3706350000,12302.54004
3/26/2018,12327.05957,12444.40039,12241.48047,12433.15039,3511100000,12433.15039
3/23/2018,12413.61035,12449.03027,12166.54004,12177.7002,3815080000,12177.7002
3/22/2018,12574.16016,12597.09961,12369.73047,12377.38965,3739800000,12377.38965
3/21/2018,12663.66016,12776.33008,12654.71973,12683.75977,3415510000,12683.75977
3/20/2018,12663.25,12692.53027,12643.58984,12663.63965,3261030000,12663.63965
3/19/2018,12755.54981,12755.54981,12580.07031,12651.45996,3282130000,12651.45996
3/16/2018,12752.69043,12821.86035,12752.69043,12784.38965,5372340000,12784.38965
3/15/2018,12788.16016,12813.59961,12722.92969,12743.61035,3500330000,12743.61035
3/14/2018,12874.51953,12892.90039,12743.90039,12762.66992,3391360000,12762.66992
3/13/2018,12938.5,12963.08984,12809.07031,12831.75,3301650000,12831.75
3/12/2018,12930.42969,12963.41992,12881.16992,12898.40039,3185020000,12898.40039
3/9/2018,12802.13965,12918.82031,12782.92969,12918.82031,3364100000,12918.82031
3/8/2018,12725.16016,12754.32031,12672.36035,12745.00977,3212320000,12745.00977
3/7/2018,12634.04004,12724.83984,12603.5,12707.00977,3393270000,12707.00977
3/6/2018,12722.30957,12735.44043,12648.25,12720.76953,3370690000,12720.76953
3/5/2018,12498.4502,12710.57031,12482.78027,12680.73047,3710810000,12680.73047
3/2/2018,12444.65039,12576.55957,12391.20996,12557.99023,3882450000,12557.99023
3/1/2018,12644.42969,12716.4502,12435.87012,12518.73047,4503970000,12518.73047
2/28/2018,12852.11035,12873.84961,12650.80957,12652.54981,4230660000,12652.54981
